en        : 14178624372
sv        : 1581871315
ceb       : 900426918
de        : 4486783837
nl        : 1289101226
fr        : 3651298028
ru        : 3076752264
it        : 2386014878
es        : 2597231503
war       : 267709795
pl        : 1603167600
vi        : 512032971
ja        : 2480770527
pt        : 1394893816
zh        : 1415238431
uk        : 992290794
ca        : 749641195
fa        : 544107496
no        : 550129120
ar        : 552531796
sh        : 400016531
fi        : 580752776
hu        : 705520951
id        : 405625930
ro        : 404963365
cs        : 651823064
ko        : 506168525
sr        : 358773533
ms        : 169358394
tr        : 444724433
eu        : 166679374
eo        : 228645160
min       : 24446633
bg        : 291421758
da        : 283755631
kk        : 111632348
sk        : 203731865
hy        : 190036819
zh_min_nan: 38491043
he        : 475188642
lt        : 165019626
hr        : 224177327
ce        : 33728034
sl        : 181274847
et        : 162037590
gl        : 189662486
nn        : 114665229
uz        : 59655753
la        : 79129198
el        : 256117962
be        : 142779756
simple    : 133144398
vo        : 24364559
th        : 214356440
hi        : 112178223
az        : 116805393
ur        : 99495589
ka        : 106935996
ta        : 112054702
oc        : 66345547
mk        : 118181618
mg        : 24262292
cy        : 63755587
lv        : 106267858
new       : 17444650
bs        : 94893161
tt        : 45983917
tg        : 23115106
te        : 95860340
tl        : 43491234
pms       : 13440573
sq        : 65134617
br        : 46164193
Could not download dump for be_tarask
ky        : 26824706
ht        : 6777497
jv        : 37007469
zh_yue    : 36995138
ast       : 59081050
lb        : 40954721
ml        : 86861838
mr        : 39849981
bn        : 97933183
pnb       : 14068785
af        : 62249551
sco       : 46452638
is        : 37745392
ga        : 19767740
ba        : 31253674
fy        : 37096380
cv        : 17350342
sw        : 23512599
lmo       : 20073801
my        : 26848689
an        : 29892016
yo        : 10798468
ne        : 24476304
io        : 11585991
gu        : 24103257
nds       : 26574380
scn       : 11775456
bpy       : 5160416
pa        : 27421536
ku        : 15783612
als       : 38993347
bar       : 25704894
kn        : 62256236
ia        : 7109170
qu        : 10849243
su        : 17121563
ckb       : 17269301
bat_smg   : 4362300
mn        : 24052285
arz       : 15272647
nap       : 5461246
wa        : 8565603
gd        : 8062892
bug       : 1760822
yi        : 10622406
map_bms   : 4608220
am        : 5658015
si        : 30249632
mzn       : 6242068
fo        : 13325917
li        : 12574291
nah       : 5115036
or        : 18123655
sah       : 10567366
vec       : 10319889
hsb       : 9076639
azb       : 7810832
os        : 6557990
sa        : 13284530
mrj       : 2940660
hif       : 4362177
mhr       : 4807860
roa_tara  : 6038788
ilo       : 13038142
pam       : 8601773
eml       : 6255656
xmf       : 7845404
sd        : 6282931
bh        : 7875886
ps        : 9586174
se        : 3020821
mi        : 1966861
hak       : 2733315
bcl       : 3730616
diq       : 6437835
gan       : 3847936
nds_nl    : 6681993
glk       : 2068292
vls       : 6137026
rue       : 2337903
bo        : 6368269
wuu       : 4712999
fiu_vro   : 1970548
mai       : 5158304
co        : 3137125
tk        : 3938553
sc        : 3666110
csb       : 1869610
szl       : 3392159
vep       : 2811839
lrc       : 4211528
km        : 19526956
crh       : 2377291
gv        : 5480377
kv        : 2951928
frr       : 4758010
zh_classical: 10755582
zea       : 2444415
as        : 17209943
so        : 6285848
cdo       : 1791654
nso       : 1804858
stq       : 3001726
ay        : 1627051
udm       : 2094666
kw        : 1574549
lad       : 2588514
nrm       : 1450081
ie        : 1346405
koi       : 2015679
ace       : 2092635
rm        : 4133388
myv       : 2152866
pcd       : 3315541
olo       : 1321308
lij       : 2100794
mt        : 8239375
fur       : 2218527
gn        : 2605968
dsb       : 3552206
dv        : 4302029
cbk_zam   : 2045384
ext       : 2283531
ang       : 3720838
kab       : 3497912
ksh       : 3199014
lez       : 3408216
mwl       : 8111896
ln        : 1659654
gag       : 2077948
ug        : 4806540
sn        : 1348339
frp       : 1596513
pag       : 1243291
pi        : 555121
gom       : 5346451
nv        : 1622923
av        : 3441860
pfl       : 2668987
xal       : 1567163
krc       : 3235065
haw       : 491669
kaa       : 1340803
bxr       : 2851920
rw        : 850013
pdc       : 993100
to        : 825684
nov       : 1017403
kl        : 813742
arc       : 899553
pap       : 1219458
kbd       : 1611652
lo        : 2359501
bjn       : 1932662
jam       : 823106
ha        : 713733
tet       : 781960
ki        : 312075
tyv       : 1441650
tpi       : 1393664
ig        : 755950
na        : 454596
lbe       : 1071818
jbo       : 1023915
roa_rup   : 894273
ty        : 418104
kg        : 402679
za        : 538015
mdf       : 813998
lg        : 607223
wo        : 1516351
srn       : 626011
ab        : 755306
ltg       : 741681
zu        : 1272283
sm        : 607653
chr       : 1418297
om        : 1002991
tcy       : 822034
tn        : 1140894
chy       : 287874
rmy       : 476313
cu        : 579058
tw        : 187042
xh        : 871931
tum       : 231465
bi        : 286647
rn        : 249093
pih       : 539182
got       : 533664
ch        : 653367
ss        : 464821
pnt       : 441881
bm        : 388501
ady       : 258035
mo        : 446101
ts        : 618701
iu        : 247085
ny        : 319554
st        : 311473
fj        : 209185
ee        : 402647
ak        : 251249
ks        : 251339
ik        : 215369
sg        : 247778
ve        : 236977
ff        : 255140
dz        : 229949
ti        : 263193
cr        : 262189
ng        : 83378
cho       : 16799
mh        : 18407
kj        :  7036
ii        : 22275
ho        :  8832
aa        : 35145
mus       :  4477
hz        :  6796
kr        :  4236
Could not download dump for 
Pinged 296 wikis (294 ok, 2 errors). Total size 54325 MB.
